"ID","Prefecture","Q1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q5","Q6","Q7","Q29","Q36","Q41","Q42_1","Q42_2","Q42_3","Q42_4","Q43_1","Q43_2","Q43_3","Q43_4","Q43_5","Q43_6","Q43_7","Q43_8","Q43_9","Q43_10","Q43_11","Q43_12","Q43_13","Q43_14","Q43_15","Q44_1","Q44_2","Q44_3","Q45_1_LDP","Q45_1_CDP","Q45_1_JRP","Q45_2_LDP","Q45_2_CDP","Q45_2_JRP","Q45_3_LDP","Q45_3_CDP","Q45_3_JRP","Q46_1","Q46_2","Q46_3","Q47","Q48","Q49_1","Q49_2","Q50","Q51","Q52","Q53","Q54"
468,"11",1,0,1,0,0,1,0,0,2,3,3,2,1,1,5,5,5,5,4,3,2,4,4,2,3,5,1,2,4,3,1,1,3,5,2,2,3,3,3,3,3,3,3,3,3,2,2,2,1,6,1,2,2,2,4,2,4
469,"11",1,1,1,0,0,1,0,0,99,3,3,1,1,12,5,5,5,5,1,1,1,3,1,1,1,3,4,2,3,3,2,3,4,2,3,2,3,3,3,3,3,3,4,4,4,3,3,2,2,12,5,66,2,2,1,3,5
470,"11",2,1,1,0,0,1,1,0,1,1,3,2,2,1,7,5,2,5,2,5,1,5,4,2,3,3,1,3,3,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,6,66,1,5,1,5,3
471,"11",2,0,1,0,0,1,0,0,3,1,3,1,1,1,5,3,5,0,1,1,2,1,3,2,2,3,1,3,4,2,1,1,3,3,4,1,1,3,1,4,3,2,5,1,4,2,2,1,1,6,2,2,1,5,1,4,4
472,"11",2,1,1,0,0,1,0,0,1,12,3,1,1,1,6,2,6,4,1,2,3,1,4,1,1,3,1,3,4,4,3,3,3,2,4,3,1,5,3,1,3,3,3,3,3,1,2,1,1,8,1,2,99,5,4,1,5
473,"12",2,1,1,0,0,1,0,0,2,12,3,1,2,12,5,5,5,3,1,3,3,1,3,3,3,3,3,3,5,5,3,1,3,2,4,2,1,3,3,1,2,2,2,1,1,1,1,1,1,13,6,66,2,2,1,4,5
474,"12",2,0,1,0,0,0,1,0,6,4,4,1,2,99,1,5,5,0,5,2,1,3,3,1,1,5,1,1,4,1,1,1,2,2,4,3,1,2,2,4,1,1,5,3,1,3,3,1,2,9,2,3,2,5,1,5,4
475,"12",1,0,1,0,0,1,1,0,1,12,3,2,1,1,4,3,3,6,3,3,2,3,3,99,2,2,2,2,3,3,3,2,2,3,3,2,4,3,2,1,3,4,2,1,1,99,99,99,2,1,6,66,1,5,4,2,5
476,"12",2,0,1,0,0,1,1,0,6,6,4,1,1,6,3,2,3,1,1,3,4,2,1,2,1,4,2,3,4,3,4,1,4,2,5,2,1,5,2,5,2,1,4,1,1,1,2,1,1,2,6,66,1,5,4,4,5
477,"12",2,0,1,0,0,1,0,0,1,1,3,1,1,1,5,5,5,5,1,2,5,1,4,1,1,2,1,2,2,2,1,5,2,2,5,2,2,3,3,3,2,2,2,3,3,1,1,1,1,9,1,99,2,5,1,5,4
478,"12",1,0,1,0,0,1,0,0,1,1,2,2,2,1,5,5,5,5,3,5,1,3,5,3,2,3,2,3,4,2,1,1,2,3,3,5,1,5,5,1,5,5,1,5,5,3,4,1,1,7,1,2,2,5,1,6,3
