year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp
2012,gunma,3,0,"SASAGAWA, HIROYOSHI",LDP,1,1,1,5101,46,4,1,84363,299459,5707,9435264
2003,hiroshima,1,1,"KISHIDA, FUMIO",LDP,1,4,1,5505,46,3,1,84292,303801,5103,16628918
2003,kochi,3,1,"YAMAMOTO, YUJI",LDP,1,5,1,6207,51,3,1,84287,221758,6309,9290158
2000,miyagi,3,1,"MITSUZUKA, HIROSHI",LDP,1,10,1,52,72,4,1,84278,279131,6003,12419755
1996,kumamoto,5,1,"YAGAMI, MASAYOSHI",NFP,8,2,1,4905,36,4,1,84275,255328,6808,6314295
2012,saitama,14,0,"MITSUBAYASHI, HIROMI",LDP,1,1,1,3709,57,5,1,84263,419574,5409,7452111
2014,aichi,5,1,"AKAMATSU, HIROTAKA",DPJ,3,8,1,4405,66,4,1,84226,0,0,0
2000,oita,4,1,"YOKOMITSU, KATSUHIKO",SDP,9,2,1,4908,56,4,1,84165,220350,7709,13274183
2017,oita,3,1,"YOKOMITSU, KATSUHIKO",CDP,40,6,2,45084,73,2,2,84133,0,0,0
2012,saitama,5,2,"MAKIHARA, HIDEKI",LDP,1,2,2,4008,41,4,2,84120,352329,5909,2063977
2012,kagawa,1,1,"HIRAI, TAKUYA",LDP,1,5,1,4709,54,4,1,84080,306129,5809,14322072
2012,tokyo,18,2,"TSUCHIYA, MASATADA",LDP,1,2,1,3202,70,6,1,84078,415060,65,5781081
2003,kyoto,3,0,"IZUMI, KENTA",DPJ,3,1,1,4608,29,3,1,84052,342583,5307,8940664
2009,tottori,2,0,"YUHARA, SHUNJI",DPJ,3,0,2,4902,46,3,2,84033,228476,76,6643132
2000,kagawa,2,1,"KIMURA, YOSHIOC",LDP,1,5,1,5306,52,4,1,84030,274932,5908,20594751
2012,tochigi,3,1,"WATANABE, YOSHIMI",your,14,6,1,6003,60,3,1,84023,246508,5801,9636392
2003,hokkaido,4,1,"SATO, SHIZUO",LDP,1,4,0,4008,62,3,2,83994,324521,6408,12279714
2005,nagasaki,3,1,"TANIGAWA, YAICHI",LDP,1,2,1,53,64,2,1,83992,217397,7407,13209892
2017,nagasaki,3,0,"TANIGAWA, YAICHI",LDP,1,5,1,59072,76,4,1,83992,0,0,0
2000,aichi,8,0,"BANNO, YUTAKA",DPJ,3,0,2,35,39,5,2,83988,389275,6209,9654473
2003,chiba,6,1,"UBUKATA, YUKIO",DPJ,3,3,1,4608,56,3,1,83985,335416,5505,9655476
2014,tokyo,21,1,"ODAWARA, KIYOSHI",LDP,1,2,1,4106,50,3,1,83984,0,0,0
2017,kanagawa,12,1,"HOSHINO, TSUYOSHI",LDP,1,2,2,41089,54,3,2,83924,0,0,0
2017,osaka,3,0,"SATO, SHIGEKI",CGP,5,8,1,5401,58,3,1,83907,0,0,0
2005,ishikawa,2,1,"ICHIKAWA, YASUO",DPJ,3,3,0,3703,63,3,2,83905,314239,7303,10702953
