year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp
2009,hokkaido,9,1,"HATOYAMA, YUKIO",DPJ,3,8,1,6604,62,4,1,201461,413536,7407,16865736
2009,shizuoka,6,1,"WATANABE, SHU",DPJ,3,5,1,6605,47,3,1,197688,450065,6704,7058573
2005,kanagawa,11,1,"KOIZUMI, JUNICHIRO",LDP,1,12,1,7302,63,5,1,197037,397948,6805,12396032
2012,kanagawa,15,1,"KONO, TARO",LDP,1,6,1,80,49,2,1,192604,456520,5609,1500237
2009,saitama,6,1,"OSHIMA, ATSUHI",DPJ,3,4,1,6706,52,3,1,186993,423131,6706,7297826
2005,kanagawa,15,1,"KONO, TARO",LDP,1,4,1,6309,42,3,1,186770,446440,6607,14898090
2009,hokkaido,3,1,"ARAI, SATOSHI",DPJ,3,4,1,6009,63,3,1,186081,439446,7009,11957683
2012,kanagawa,11,1,"KOIZUMI, SHINJIRO",LDP,1,2,1,7909,31,5,1,184360,389013,6102,9668251
2009,shizuoka,5,1,"HOSONO, GOSHI",DPJ,3,4,1,59,38,3,1,184328,456360,6906,3123698
2009,hokkaido,1,1,"YOKOMICHI, TAKAHIRO",DPJ,3,9,1,5403,68,4,1,183216,475525,7201,14274990
2009,hokkaido,5,2,"KOBAYASHI, CHIYOMI",DPJ,3,2,1,5308,40,3,1,182952,452618,7603,5938609
1996,toyama,3,1,"WATANUKI, TAMISUKE",LDP,1,10,1,7909,69,3,1,182185,385638,6208,9450426
2009,aichi,7,0,"YAMAO, SHIORI",DPJ,3,1,1,6101,35,3,1,182028,418255,7207,7999114
2003,aichi,11,0,"FURUMOTO, SHINICHIRO",DPJ,3,0,1,8906,38,2,1,181747,338755,6703,12065049
2009,aichi,12,2,"NAKANE, YASUHIRO",DPJ,3,2,1,5.53614E+14,47,4,1,180972,0,0,0
2009,aichi,9,1,"OKAMOTO, MITSUNORI",DPJ,3,3,1,6204,38,3,1,180609,421977,7003,8518989
2009,aichi,11,1,"FURUMOTO, SHINICHIRO",DPJ,3,2,1,64,44,3,1,177350,362700,7801,12562948
2009,kyoto,6,1,"YAMANOI, KAZUNORI",DPJ,3,4,1,5704,47,4,1,176022,447950,6907,9986446
2009,hyogo,7,0,"ISHII, TOSHIRO",DPJ,3,1,1,5806,38,4,1,176017,454288,6706,5160184
2009,hokkaido,6,0,"SASAKI, TAKAHIRO",DPJ,3,2,1,5504,60,4,1,175879,440855,73,7359921
2003,kanagawa,11,1,"KOIZUMI, JUNICHIRO",LDP,1,11,1,7404,61,3,1,174374,398912,5909,13407764
2009,tokyo,6,1,"KOMIYAMA, YOKO",DPJ,3,4,1,5604,60,4,1,174367,481818,6507,5122549
2005,kanagawa,13,1,"AMARI, AKIRA",LDP,1,7,1,6101,56,3,1,174361,443977,6508,11066298
2005,hokkaido,5,1,"MACHIMURA, NOBUTAKA",LDP,1,8,1,5402,60,3,1,173947,444986,7302,15350358
2009,mie,3,1,"OKADA, KATSUYA",DPJ,3,7,1,7202,56,3,1,173931,334471,7301,9993208
2009,hyogo,6,1,"ICHIMURA, KOICHIRO",DPJ,3,3,1,5506,45,4,1,172889,471847,6701,6213859
2009,aichi,8,1,"BANNO, YUTAKA",DPJ,3,3,1,6002,48,3,1,172839,417869,7002,7285988
2009,aichi,10,0,"SUGIMOTO, KAZUMI",DPJ,3,1,1,6007,48,3,1,172401,417772,6906,4343754
2005,fukushima,1,0,"KAMEOKA, TAKETAMI",LDP,1,1,1,5608,50,3,1,171507,431046,7104,20510165
2009,hokkaido,8,1,"OOSAKA, SEIJI",DPJ,3,2,1,6206,50,4,1,171114,403646,6903,10098483
2009,saitama,11,2,"KOIZUMI, RYUJI",independent,99,3,1,7007,56,3,1,171000,362044,6908,6929466
2009,tokyo,19,1,"SUEMATSU, YOSHINORI",DPJ,3,5,1,55,52,5,1,170437,462375,6801,1946551
2000,akita,3,1,"MURAOKA, KANEZO",LDP,1,9,1,63,68,4,1,170176,384292,72,13044716
2005,kanagawa,17,1,"KONO, YOHEI",LDP,1,14,1,6007,68,3,1,169825,424037,6704,17447280
2009,niigata,1,1,"NISHIMURA, CHINAMI",DPJ,3,3,1,6001,42,4,1,169389,425456,6705,5837408
2014,kanagawa,11,1,"KOIZUMI, SHINJIRO",LDP,1,3,1,8303,33,2,1,168953,0,0,0
2009,tokyo,23,0,"KUSHIBUCHI, MARI",DPJ,3,1,1,5404,41,4,1,168346,461006,6808,4604848
2009,tokyo,7,1,"NAGATSUMA, AKIRA",DPJ,3,4,1,6102,49,4,1,167905,440571,6303,5861638
2009,kanagawa,16,0,"GOTO, YUICHI",DPJ,3,1,1,5808,40,3,1,167721,430198,6706,5639682
2009,aichi,6,0,"ISHIDA, YOSHIHIRO",DPJ,3,1,1,5809,63,5,1,167697,416933,6909,5461609
2009,saitama,3,1,"HOSOKAWA, RITSUO",DPJ,3,7,1,60,66,3,1,167432,451668,6306,6784144
2009,yamagata,2,1,"KONDO, YOSUKE",DPJ,3,3,1,6505,44,3,1,166287,344315,7502,11018735
2009,fukuoka,8,1,"ASO, TARO",LDP,1,9,1,6202,68,3,1,165327,373045,7207,8125425
2009,hokkaido,2,0,"MITSUI, WAKIO",DPJ,3,4,1,5402,66,5,1,165267,436036,71,12091641
2009,shizuoka,2,2,"TSUGAWA, SHOGO",DPJ,3,3,1,5804,37,3,1,165151,396931,7207,4421357
2009,gifu,3,1,"SONODA, YASUHIRO",DPJ,3,3,1,5704,42,3,1,165017,416239,7006,12332535
2000,gunma,5,0,"OBUCHI, YUKO",LDP,1,1,1,7604,26,4,1,163991,314622,6909,17469724
2009,saitama,1,1,"TAKEMASA, KOICHI",DPJ,3,4,1,6009,48,4,1,163973,419401,6504,14227792
2009,tokyo,3,1,"MATSUBARA, JIN",DPJ,3,4,1,5202,53,3,1,163791,474069,6703,3766763
2009,kanagawa,15,1,"KONO, TARO",LDP,1,5,1,5302,46,4,1,163470,454639,6804,10418481
2009,tokyo,18,1,"KAN, NAOTO",DPJ,3,10,1,5905,62,4,1,163446,409067,6802,8494993
2000,nagano,3,1,"HATA, TSUTOMU",DPJ,3,11,1,6102,64,4,1,163382,396292,69,13728974
2012,chiba,4,1,"NODA, YOSHIHIKO",DPJ,3,6,1,5703,55,4,1,163334,495212,5905,9249326
2012,toyama,3,1,"TACHIBANA, KEIICHIRO",LDP,1,2,1,7701,51,3,1,162891,378864,5708,11645637
2005,tokyo,23,1,"ITO, KOSUKE",LDP,1,9,1,5407,63,3,1,162351,445766,68,20874601
2009,aichi,2,1,"FURUKAWA, MOTOHISA",DPJ,3,4,1,6606,43,4,1,162237,378272,6506,9329593
2009,chiba,4,1,"NODA, YOSHIHIKO",DPJ,3,5,1,5306,52,5,1,162153,487837,6301,10955827
2005,tokyo,8,1,"ISHIHARA, NOBUTERU",LDP,1,5,1,5703,48,3,1,161966,447051,6406,14855881
2005,kanagawa,1,1,"MATSUMOTO, JUN",LDP,1,3,1,5803,55,3,1,161702,413952,6802,14599633
1996,nagano,3,1,"HATA, TSUTOMU",NFP,8,10,1,6206,61,3,1,161670,386383,6808,11405773
2009,nagano,1,1,"SHINOHARA, TAKASHI",DPJ,3,3,1,5103,61,4,1,161543,429859,7403,8336060
2005,tokyo,17,1,"HIRASAWA, KATSUEI",LDP,1,4,1,63,60,3,1,161324,430522,6307,18161171
2005,kanagawa,10,1,"TANAKA, KAZUNORI",LDP,1,4,1,5604,56,3,1,160669,453007,6404,10885382
2005,kanagawa,2,1,"SUGA, YOSHIHIDE",LDP,1,4,1,5804,56,3,1,160111,416854,6703,9668261
2009,fukushima,3,1,"GEMBA, KOICHIRO",DPJ,3,5,1,7308,45,2,1,159826,298086,7403,10583062
2017,kanagawa,15,1,"KONO, TARO",LDP,1,7,1,67063,54,3,1,159647,0,0,0
2005,yamagata,3,1,"KATO, KOICHIA",LDP,1,12,1,6906,66,3,1,159486,327511,7202,8531367
2009,hokkaido,10,1,"KODAIRA, TADAMASA",DPJ,3,7,1,6206,67,3,1,159473,342003,7606,16441887
2003,toyama,3,1,"WATANUKI, TAMISUKE",LDP,1,12,1,6907,76,3,1,159316,391568,6006,16918870
2005,kanagawa,16,1,"KAMEI, YOSHIYUKI",LDP,1,9,1,5903,69,3,1,159268,424331,6408,19013348
2005,aichi,12,1,"SUGIURA, SEIKEN",LDP,1,6,1,5206,71,3,1,159256,432843,7101,16139267
2009,nagano,2,1,"SHIMOJO, MITSU",DPJ,3,3,1,5509,51,6,1,158666,387779,7405,9023605
2009,aichi,5,1,"AKAMATSU, HIROTAKA",DPJ,3,6,1,62,61,3,1,158235,411827,6306,9843722
2009,miyagi,2,0,"SAITO, YASUNORI",DPJ,3,1,1,5808,40,4,1,158041,421735,65,6595565
2000,gifu,4,1,"KANEKO, KAZUYOSHI",LDP,1,5,1,6205,57,3,1,157761,345453,7409,15481876
2009,kanagawa,14,0,"MOTOMURA, KENTARO",DPJ,3,1,1,5504,39,5,1,157644,430105,6705,4814781
2000,kanagawa,11,1,"KOIZUMI, JUNICHIRO",LDP,1,10,1,69,58,3,1,157335,396888,5904,13828234
2009,kanagawa,7,2,"SUTOU, NOBUHIKO",DPJ,3,3,1,5702,64,3,1,157070,411728,6805,7168874
2012,shizuoka,5,1,"HOSONO, GOSHI",DPJ,3,5,1,59,41,4,1,156887,457412,6001,3486965
2009,fukuoka,2,0,"INATOMI, SHUJI",DPJ,3,1,1,56,39,4,1,156431,433264,6507,5955816
2009,kanagawa,5,2,"TANAKA, KEISHU",DPJ,3,6,1,5009,71,4,1,156328,447549,7001,16043451
2003,gifu,4,1,"FUJII, TAKAO",LDP,1,3,1,6308,60,3,1,156179,349603,7105,18938502
2009,fukushima,1,0,"ISHIHARA, YOZABURO",DPJ,3,1,1,50,36,4,1,156060,427768,7309,11543630
2009,osaka,11,1,"HIRANO, HIROFUMI",DPJ,3,5,1,5905,60,4,1,156002,390098,6903,13116203
2014,kanagawa,15,1,"KONO, TARO",LDP,1,7,1,6608,51,3,1,155388,0,0,0
2005,shizuoka,2,1,"HARADA, YOSHITSUGU",LDP,1,2,1,5607,53,2,1,155019,394374,71,8335182
2009,niigata,3,0,"KUROIWA, TAKAHIRO",DPJ,3,1,1,66,42,3,1,154985,323892,7401,6761731
2009,tokyo,22,2,"YAMAHANA, IKUO",DPJ,3,3,1,5006,42,4,1,154904,459207,6709,4462353
2009,aichi,13,0,"ONISHI, KENSUKE",DPJ,3,1,1,5.37943E+14,38,3,1,154779,0,0,0
2017,kanagawa,11,1,"KOIZUMI, SHINJIRO",LDP,1,3,1,78002,36,4,1,154761,0,0,0
2005,shizuoka,6,1,"WATANABE, SHU",DPJ,3,4,1,5206,43,3,1,154542,453424,6602,8392965
2000,nagasaki,2,1,"KYUMA, FUMIO",LDP,1,7,1,7508,59,3,1,154517,332715,6401,13611533
2009,shizuoka,3,0,"KOYAMA, NOBUHIRO",DPJ,3,1,1,5704,33,3,1,154035,373341,7302,3930535
2009,chiba,2,0,"KURODA, YU",DPJ,3,1,1,5609,50,4,1,153745,425033,6407,4018376
2009,aichi,3,1,"KONDO, SHOICHI",DPJ,3,5,1,6202,51,4,1,153735,381361,66,7901740
2005,shizuoka,3,1,"YANAGISAWA, HAKUO",LDP,1,8,1,6103,70,3,1,153500,365656,6909,12064448
2005,tokyo,9,1,"SUGAWARA, ISSHU",LDP,1,2,1,5309,43,4,1,153309,429691,6705,18348267
2009,kanagawa,10,2,"JOJIMA, KORIKI",DPJ,3,4,1,4903,62,4,1,152921,484482,6505,4063499
2009,gunma,5,1,"OBUCHI, YUKO",LDP,1,4,1,71,35,3,1,152708,317838,7005,9204235
1996,okayama,4,1,"HASHIMOTO, RYUTARO",LDP,1,12,1,68,59,3,1,152595,336932,6705,9611995
2005,tokyo,3,0,"ISHIHARA, HIROTAKA",LDP,1,0,1,5007,41,3,1,151989,457792,6609,13694835
2005,osaka,14,1,"TANIHATA, TAKASHI",LDP,1,4,1,5409,58,3,1,151853,423797,6702,10543129
2005,kanagawa,5,0,"SAKAI, MANABU",LDP,1,1,1,5101,40,3,1,151617,435029,6906,12329325
2009,hokkaido,5,1,"MACHIMURA, NOBUTAKA",LDP,1,9,2,4406,64,3,2,151448,452618,7603,14385587
2009,ibaragi,1,0,"FUKUSHIMA, NOBUYUKI",DPJ,3,0,1,5701,39,4,1,151165,407489,6607,4827484
2009,saitama,9,2,"IGARASHI, FUMIHIKO",DPJ,3,4,1,5607,60,3,1,151057,405593,6706,3624496
1996,akita,3,1,"MURAOKA, KANEZO",LDP,1,8,1,5709,65,3,1,150956,384319,7003,12088420
2009,kanagawa,11,0,"KOIZUMI, SHINJIRO",LDP,1,1,1,5701,28,5,1,150893,394396,6801,10439820
2005,tokyo,5,1,"KOSUGI, TAKASHI",LDP,1,8,1,5304,69,3,1,150667,438707,6507,9405550
2005,hyogo,4,1,"INOUE, KIICHI",LDP,1,7,1,56,73,3,1,150580,423343,6408,20683781
2005,tokyo,24,1,"HAGIUDA, KOICHI",LDP,1,2,1,5302,42,3,1,150552,434174,6608,13468937
2017,kumamoto,4,2,"KANEKO, YASUSHI",LDP,1,6,1,62076,56,2,1,150453,0,0,0
2009,osaka,9,2,"OTANI, NOBUMORI",DPJ,3,3,1,51,46,5,1,150452,433290,6902,7622851
2005,tokyo,22,1,"ITO, TATSUYA",LDP,1,5,1,5201,44,4,1,150404,442182,6603,12070687
2003,nagano,3,1,"HATA, TSUTOMU",DPJ,3,12,1,5805,68,3,1,150203,401155,6508,10998135
2000,toyama,3,1,"WATANUKI, TAMISUKE",LDP,1,11,1,5805,73,4,1,150200,390784,6702,15949065
2005,hokkaido,9,1,"HATOYAMA, YUKIO",DPJ,3,7,1,4903,58,3,1,150050,421166,7303,18678628
2009,miyagi,1,1,"KORI, KAZUKO",DPJ,3,2,1,5805,52,5,1,149980,402329,6408,8064340
2005,tokyo,1,1,"YOSANO, KAORU",LDP,1,8,1,5406,67,4,1,149894,427528,6503,15258218
2009,hokkaido,4,1,"HACHIRO, YOSHIO",DPJ,3,7,1,6505,61,3,1,149697,316523,74,13584405
2009,tokyo,5,2,"TEZUKA, YOSHIO",DPJ,3,3,1,5003,42,4,1,149623,450606,6702,4177987
2009,hiroshima,2,1,"MATSUMOTO, DAISUKE",DPJ,3,3,1,5603,38,3,1,149227,390965,6809,7135673
2000,kumamoto,4,1,"SONODA, HIROYUKI",LDP,1,5,1,7902,58,3,1,149156,304056,6508,8763354
2003,kanagawa,15,1,"KONO, TARO",LDP,1,3,1,5909,40,4,1,148955,441394,5708,16067131
2005,yamaguchi,1,1,"KOMURA, MASAHIKO",LDP,1,9,1,6308,63,3,1,148912,358225,6701,15325681
2009,tokyo,24,2,"AKUTSU, YUKIHIKO",DPJ,3,2,1,4905,53,4,1,148719,448401,6805,8406746
2009,fukuoka,5,1,"KUSUDA, DAIZO",DPJ,3,3,1,5301,34,3,1,148502,404661,7005,7454243
2003,wakayama,3,1,"NIKAI, TOSHIHIRO",hoshusinto,32,7,1,7804,64,2,1,148274,315076,6503,3482529
2005,tokyo,11,1,"SHIMOMURA, HAKUBUN",LDP,1,4,1,55,51,3,1,148099,428608,6403,13837504
2005,shizuoka,5,1,"HOSONO, GOSHI",DPJ,3,3,1,4808,34,3,1,148002,448424,6805,3634613
2009,ibaragi,6,0,"OIZUMI, HIROKO",DPJ,3,1,1,5403,59,3,1,147865,422245,6607,6725251
2009,tokyo,8,1,"ISHIHARA, NOBUTERU",LDP,1,6,1,4909,52,4,1,147514,460985,6505,16484113
2017,mie,3,1,"OKADA, KATSUYA",independent,99,9,1,64034,64,4,1,147255,0,0,0
2014,kanagawa,2,1,"SUGA, YOSHIHIDE",LDP,1,7,1,6707,66,3,1,147084,0,0,0
2009,ibaragi,3,2,"KOIZUMI, TOSHIAKI",DPJ,3,3,1,5701,52,3,1,146983,385445,6805,6276828
2012,fukuoka,8,1,"ASO, TARO",LDP,1,10,1,6804,72,3,1,146712,366106,6009,6990738
2009,saitama,14,2,"NAKANO, JO",DPJ,3,2,1,5702,42,3,1,146148,411625,6401,6404990
2009,hyogo,11,1,"MATSUMOTO, TAKEAKI",DPJ,3,4,1,6103,50,3,1,146058,381236,64,8173851
2005,hyogo,7,1,"OMAE, SHIGEO",LDP,1,2,1,5002,63,4,1,145851,439195,6704,12130981
2005,wakayama,3,1,"NIKAI, TOSHIHIRO",LDP,1,8,1,6604,66,3,1,145735,312730,7205,7669949
2009,tochigi,1,0,"ISHIMORI, HISATSUGU",DPJ,3,0,1,54,47,4,1,145702,407489,6607,13058488
2003,shimane,2,1,"TAKESHITA, WATARU",LDP,1,2,1,6308,57,4,1,145555,321754,7205,9565922
2005,tokyo,16,1,"SHIMAMURA, YOSHINOBU",LDP,1,9,1,57,71,3,1,145439,439858,6004,10045060
2005,kanagawa,7,1,"SUZUKI, TSUNEO",LDP,1,6,1,5701,64,3,1,145371,385181,6704,6646802
2005,fukuoka,8,1,"ASO, TARO",LDP,1,8,1,5609,64,3,1,145229,378095,6903,9475761
2005,chiba,11,1,"MORI, EISUKE",LDP,1,6,1,6206,57,3,1,145176,376403,6302,8178160
2012,tokyo,9,1,"SUGAWARA, ISSHU",LDP,1,4,1,5305,50,4,1,145013,448660,6305,14801950
2003,gunma,5,1,"OBUCHI, YUKO",LDP,1,2,1,77,29,3,1,144848,318360,6105,16569068
2005,gunma,5,1,"OBUCHI, YUKO",LDP,1,3,1,6708,31,3,1,144782,319021,6809,12294307
2005,osaka,15,1,"TAKEMOTO, NAOKAZU",LDP,1,4,1,5508,64,3,1,144663,404445,6507,10582138
2005,ibaragi,1,1,"AKAGI, NORIHIKO",LDP,1,5,1,5803,46,3,1,144499,406757,6204,12002124
2009,niigata,4,1,"KIKUTA, MAKIKO",DPJ,3,3,1,6205,39,3,1,144230,321921,7303,8016530
2000,hyogo,7,1,"DOI, TAKAKO",SDP,9,10,1,6208,71,4,1,144168,408028,5808,10115003
2003,hokkaido,1,1,"YOKOMICHI, TAKAHIRO",DPJ,3,7,1,5504,62,3,1,143987,450744,5901,13744129
2005,hokkaido,6,0,"SASAKI, TAKAHIRO",DPJ,3,1,1,4607,56,3,1,143860,447312,7003,11589006
2005,fukushima,3,1,"GEMBA, KOICHIRO",DPJ,3,4,1,6806,41,2,1,143850,299163,7203,5572599
2005,chiba,12,1,"HAMADA, YASUKAZU",LDP,1,5,1,5706,49,3,1,143780,386093,6603,18882887
2005,nagano,3,1,"HATA, TSUTOMU",DPJ,3,13,1,5101,70,3,1,143728,402283,7107,11993632
2005,hokkaido,1,1,"YOKOMICHI, TAKAHIRO",DPJ,3,8,1,4507,64,4,1,143564,460581,6903,12763709
2000,yamaguchi,1,1,"KOMURA, MASAHIKO",LDP,1,7,1,6505,58,3,1,143490,353267,6401,11149685
2000,hyogo,4,1,"INOUE, KIICHI",CP,30,5,1,6409,68,3,1,143441,408776,5707,18889984
2014,shizuoka,5,1,"HOSONO, GOSHI",DPJ,3,6,1,5806,43,3,1,143012,0,0,0
2000,ehime,4,1,"YAMAMOTO, KOICHIB",LDP,1,3,1,8306,52,2,1,142982,261688,6808,21265166
2003,tokyo,17,1,"HIRASAWA, KATSUEI",LDP,1,3,1,62,58,3,1,142916,427432,5704,17820381
2009,chiba,1,1,"TAJIMA, KANAME",DPJ,3,3,1,5607,47,4,1,142694,397382,6403,4541118
2017,hokkaido,5,1,"WADA, YOSHIAKI",LDP,1,1,1,49084,46,3,1,142687,0,0,0
2009,hyogo,4,0,"TAKAHASHI, SHOICHI",DPJ,3,1,1,5.15719E+14,45,5,1,142684,0,0,0
2009,hyogo,5,2,"KAJIWARA, YASUHIRO",DPJ,3,2,1,5.49566E+14,52,3,1,142631,0,0,0
2009,saitama,7,1,"KOMIYAMA, YASUKO",DPJ,3,3,1,5409,44,5,1,142556,404838,6505,10440478
2009,fukuoka,3,2,"FUJITA, KAZUE",DPJ,3,1,1,5208,60,4,1,142489,394703,6907,7598913
2009,tochigi,3,1,"WATANABE, YOSHIMI",your,14,5,1,9503,57,2,1,142482,385445,6805,10621917
2000,ishikawa,2,1,"MORI, YOSHIRO",LDP,1,11,1,6404,62,3,1,142457,304948,7405,10798934
2009,tokyo,21,1,"NAGASHIMA, AKIHISA",DPJ,3,3,1,5706,47,4,1,142418,377839,6606,7812703
2005,yamagata,2,1,"ENDO, TAKEHIKO",LDP,1,5,1,5408,66,2,1,142342,351420,7504,13977791
2005,osaka,9,1,"NISHIDA, TAKESHI",LDP,1,3,1,5005,50,3,1,142243,425364,6706,12817507
2014,ibaraki,2,1,"NUKAGA, FUKUSHIRO",LDP,1,11,1,7607,70,2,1,142238,0,0,0
2014,kanagawa,13,1,"AMARI, AKIRA",LDP,1,10,1,6005,65,3,1,142201,0,0,0
2009,yamaguchi,1,1,"KOMURA, MASAHIKO",LDP,1,10,1,57,67,4,1,142103,359225,7004,10869959
2005,tochigi,1,1,"FUNADA, HAJIME",LDP,1,8,1,5504,51,3,1,141868,403272,6406,18127524
2009,tokyo,1,2,"KAIEDA, BANRI",DPJ,3,5,1,4704,60,9,1,141742,462949,6506,6334878
2017,hokkaido,3,1,"ARAI, SATOSHI",CDP,40,7,1,54036,71,2,1,141680,0,0,0
2009,gifu,4,1,"KANEKO, KAZUYOSHI",LDP,1,8,1,5209,66,3,1,141679,347362,7803,19065282
2009,oita,1,1,"KIRA, SHUJI",DPJ,3,3,1,5809,51,4,1,141665,362058,6706,5404421
2003,hokkaido,9,1,"HATOYAMA, YUKIO",DPJ,3,6,1,50,56,3,1,141442,422584,6709,16840816
2005,shizuoka,5,1,"SAITO, TOSHITSUGU",LDP,1,7,2,4606,60,3,2,141387,448424,6805,8042610
2005,ibaragi,6,1,"NIWA, YUYA",LDP,1,10,1,5606,61,4,1,141212,409891,6208,9853860
2005,osaka,13,1,"NISHINO, AKIRA",LDP,1,4,1,5801,65,3,1,141141,402043,6201,10801650
2005,hokkaido,6,1,"KANETA, EIKO",LDP,1,3,0,4508,62,3,2,141099,447312,7003,24649710
2005,mie,3,1,"OKADA, KATSUYA",DPJ,3,6,1,6001,52,3,1,140954,326576,7206,12315477
2009,saitama,2,2,"ISHIDA, KATSUYUKI",DPJ,3,4,1,50,54,4,1,140892,452200,6304,7207882
2005,chiba,9,1,"MIZUNO, KENICHI",LDP,1,4,1,5609,39,4,1,140838,392712,6402,9338338
2005,nagano,1,1,"KOSAKA, KENJI",LDP,1,6,1,4704,59,3,1,140831,430657,7002,10981705
2017,toyama,3,0,"TACHIBANA, KEIICHIRO",LDP,1,3,1,63087,56,3,1,140803,0,0,0
2005,aichi,10,1,"ESAKI, TETSUMA",LDP,1,3,1,5207,61,3,1,140622,408424,6607,23397652
2003,yamaguchi,4,1,"ABE, SHINZO",LDP,1,3,1,7907,49,3,1,140347,276936,65,6440939
2005,tochigi,4,1,"SATO, TSUTOMU",LDP,1,4,1,5402,53,3,1,140304,394394,6609,21198388
2000,shizuoka,3,1,"YANAGISAWA, HAKUO",LDP,1,6,1,6001,64,3,1,140242,350283,6806,13271517
2000,kanagawa,17,1,"KONO, YOHEI",LDP,1,12,1,5604,63,3,1,140236,419120,6009,18526740
2009,tokyo,9,0,"KIUCHI, TAKATANE",DPJ,3,1,1,4702,43,4,1,140109,444929,6709,7463347
2005,saitama,3,1,"IMAI, HIROSHI",LDP,1,4,1,5103,64,3,1,140010,441136,6302,6866112
2012,chiba,12,1,"HAMADA, YASUKAZU",LDP,1,7,1,6502,57,3,1,139935,385319,59,8754395
2009,tochigi,4,1,"YAMAOKA, KENJI",DPJ,3,5,1,5105,66,4,1,139878,303672,6902,7690072
2000,ibaragi,4,0,"KAJIYAMA, HIROSHI",LDP,1,1,1,8304,44,2,1,139817,295726,5906,10930461
2009,kanagawa,17,0,"KAMIYAMA, YOSUKE",DPJ,3,1,1,4708,NA,4,1,139678,427538,6907,6342771
2005,osaka,18,1,"NAKAYAMA, TARO",LDP,1,7,1,5209,81,3,1,139616,420929,6402,14258592
2005,fukuoka,3,2,"OTA, SEIICHI",LDP,1,8,1,5401,59,3,1,139428,383093,6805,14280893
2003,kanagawa,13,1,"AMARI, AKIRA",LDP,1,6,1,5608,54,3,1,139236,437761,58,16540740
2005,saitama,9,1,"ONO, MATSUSHIGE",LDP,1,4,1,5308,69,3,1,139211,401973,6506,11822797
2003,tokyo,18,1,"KAN, NAOTO",DPJ,3,8,1,5804,57,3,1,139195,389002,6204,16230601
2005,fukuoka,5,1,"HARADA, YOSHIAKI",LDP,1,5,1,5303,60,3,1,139178,397320,6702,13071684
2017,hokkaido,1,0,"MICHISHITA, DAIKI",CDP,40,0,1,53048,41,2,1,139110,0,0,0
2005,aichi,13,1,"OMURA, HIDEAKI",LDP,1,4,1,5301,45,3,1,139022,369801,7109,8940928
2014,toyama,3,1,"TACHIBANA, KEIICHIRO",LDP,1,3,1,8102,53,2,1,138991,0,0,0
2009,chiba,8,2,"MATSUZAKI, KIMIAKI",DPJ,3,4,1,5306,65,4,1,138923,391010,6707,7038028
2000,hiroshima,6,1,"KAMEI, SHIZUKA",LDP,1,8,1,5709,63,3,1,138790,345351,7108,15843830
2005,hokkaido,3,1,"ISHIZAKI, GAKU",LDP,1,3,1,4804,50,3,1,138765,430005,6707,16380746
2005,ibaragi,2,1,"NUKAGA, FUKUSHIRO",LDP,1,8,1,6407,61,3,1,138728,356802,6105,10825103
2009,saitama,12,2,"HONDA, HIRANAO",DPJ,3,2,1,5702,44,3,1,138727,374017,6605,9435166
2009,nagano,3,1,"HATA, TSUTOMU",DPJ,3,14,1,4705,74,4,1,138614,401784,7408,7611423
2009,tokyo,2,2,"NAKAYAMA, YOSHIKATSU",DPJ,3,4,1,51,64,6,1,138603,405333,6805,6696967
2005,tokyo,19,0,"MATSUMOTO, YOHEI",LDP,1,1,1,4603,32,3,1,138596,449209,6709,6076528
2000,wakayama,3,1,"NIKAI, TOSHIHIRO",CP,30,6,1,6301,61,3,1,138527,315837,7201,3821390
2009,tokyo,17,1,"HIRASAWA, KATSUEI",LDP,1,5,1,5104,63,4,1,138512,436866,6502,8349611
2003,shizuoka,3,1,"YANAGISAWA, HAKUO",LDP,1,7,1,5907,68,3,1,138508,361095,6507,10214429
2005,saitama,2,2,"SHINDO, YOSHITAKA",LDP,1,3,1,5108,47,3,1,138376,434389,6209,16272160
2009,fukuoka,6,1,"HATOYAMA, KUNIO",LDP,1,11,1,5207,60,3,1,138327,371843,7108,10151833
2009,mie,2,1,"NAKAGAWA, MASAHARU",DPJ,3,5,1,6108,59,4,1,138207,326627,6904,8514874
2009,kanagawa,13,0,"TACHIBANA, HIDENORI",DPJ,3,1,1,4601,40,4,1,138104,453308,6703,7333541
2005,ehime,1,1,"SHIOZAKI, YASUHISA",LDP,1,4,1,6004,54,5,1,138068,383376,6009,23202233
2012,kanagawa,2,1,"SUGA, YOSHIHIDE",LDP,1,6,1,5709,64,3,1,138040,424090,5902,8277127
2000,niigata,5,1,"TANAKA, MAKIKO",LDP,1,3,1,6806,56,3,1,137866,285130,7208,6065761
2003,yamaguchi,1,1,"KOMURA, MASAHIKO",LDP,1,8,1,6306,61,3,1,137830,356394,62,12093846
2005,yamaguchi,4,1,"ABE, SHINZO",LDP,1,4,1,7306,50,3,1,137701,275663,6809,7441171
2005,gifu,3,0,"MUTO, YOJI",LDP,1,1,1,4903,49,3,1,137562,411134,6904,22329971
2017,shizuoka,5,2,"HOSONO, GOSHI",POH,39,6,1,54085,46,3,1,137523,0,0,0
2003,kumamoto,4,1,"SONODA, HIROYUKI",LDP,1,6,1,7306,61,3,1,137428,304784,6409,6939463
2009,hiroshima,6,1,"KAMEI, SHIZUKA",kokumin,29,11,1,6002,72,4,1,137287,331003,7103,11500796
